Date,Price,Open,High,Low,Vol.,Change %
2022-07-14,0.3336,0.3237,0.3339,0.3126,456.44,3.07%
2022-07-15,0.334,0.3336,0.3486,0.3278,538.8,0.12%
2022-07-16,0.3505,0.334,0.3559,0.3316,385.8,4.94%
2022-07-17,0.3431,0.3504,0.3604,0.3425,290.48,-2.10%
2022-07-18,0.3657,0.3432,0.3696,0.3431,572,6.58%
2022-07-19,0.3734,0.3656,0.3766,0.3516,544.06,2.11%
2022-07-20,0.3626,0.3734,0.3814,0.3576,485.32,-2.90%
2022-07-21,0.3668,0.3626,0.3682,0.3489,394.25,1.17%
2022-07-22,0.3576,0.3668,0.3713,0.3543,329.79,-2.50%
2022-07-23,0.3593,0.3577,0.3628,0.3499,203.4,0.47%
2022-07-24,0.3586,0.3593,0.3666,0.356,242.34,-0.20%
2022-07-25,0.3358,0.3586,0.3601,0.3356,394.69,-6.37%
2022-07-26,0.3376,0.3358,0.3383,0.3256,425.2,0.55%
2022-07-27,0.3595,0.3376,0.3596,0.3304,446.6,6.48%
2022-07-28,0.3738,0.3594,0.3789,0.3495,533.67,3.98%
2022-07-29,0.3677,0.3738,0.3797,0.3598,443.23,-1.62%
2022-07-30,0.3877,0.3678,0.4091,0.3634,583.13,5.43%
2022-07-31,0.3793,0.3877,0.3986,0.3786,359.21,-2.16%
2022-08-01,0.3791,0.3793,0.3858,0.3713,342.91,-0.05%
2022-08-02,0.3715,0.3791,0.3934,0.367,443.99,-2.01%
2022-08-03,0.3695,0.3715,0.3773,0.3632,353.81,-0.53%
2022-08-04,0.3708,0.3695,0.3749,0.3644,290.34,0.36%
2022-08-05,0.3764,0.3708,0.3782,0.3675,292.34,1.50%
2022-08-06,0.3714,0.3764,0.3776,0.3707,136.31,-1.33%
2022-08-07,0.3723,0.3714,0.3771,0.3682,144.56,0.24%
2022-08-08,0.3788,0.3723,0.3845,0.3714,404.56,1.75%
2022-08-09,0.3674,0.3788,0.38,0.361,355.88,-3.02%
2022-08-10,0.3814,0.3673,0.3814,0.3586,432.45,3.81%
2022-08-11,0.3801,0.3814,0.3855,0.3774,427.94,-0.32%
2022-08-12,0.3794,0.3801,0.3808,0.3703,349.89,-0.20%
2022-08-13,0.378,0.3794,0.3871,0.3764,239.06,-0.37%
2022-08-14,0.3757,0.378,0.3921,0.3741,351.61,-0.62%
2022-08-15,0.3751,0.3757,0.3849,0.3663,454.56,-0.15%
2022-08-16,0.377,0.3751,0.3782,0.3668,375.77,0.49%
2022-08-17,0.3796,0.377,0.3918,0.3685,590.03,0.69%
2022-08-18,0.3702,0.3796,0.3811,0.3693,375.45,-2.46%
2022-08-19,0.3346,0.3702,0.3703,0.3315,746.16,-9.63%
2022-08-20,0.3368,0.3346,0.3427,0.3322,353.66,0.65%
2022-08-21,0.3447,0.3368,0.3483,0.3355,313.56,2.35%
2022-08-22,0.3441,0.3449,0.345,0.3316,451.15,-0.16%
2022-08-23,0.3471,0.3441,0.3479,0.3328,425.19,0.87%
2022-08-24,0.3456,0.3472,0.3524,0.339,371.6,-0.44%
2022-08-25,0.3491,0.3456,0.3521,0.3437,399.65,1.01%
2022-08-26,0.339,0.3491,0.37,0.3326,782.04,-2.90%
2022-08-27,0.3346,0.3392,0.3437,0.3291,327.26,-1.29%
2022-08-28,0.3222,0.3346,0.3372,0.3217,273.06,-3.70%
2022-08-29,0.3339,0.3223,0.334,0.3187,480.91,3.62%
2022-08-30,0.3266,0.3339,0.3356,0.3204,431.01,-2.17%
2022-08-31,0.3277,0.3267,0.3339,0.3231,394.94,0.33%
2022-09-01,0.3331,0.3277,0.3334,0.3218,382.36,1.65%
2022-09-02,0.3314,0.3331,0.3353,0.3253,341.49,-0.51%
2022-09-03,0.3296,0.3314,0.3336,0.3267,189.98,-0.55%
2022-09-04,0.3317,0.3298,0.3327,0.3278,172.37,0.64%
2022-09-05,0.3329,0.3317,0.3335,0.3227,309.63,0.37%
2022-09-06,0.3214,0.3329,0.343,0.3196,590.01,-3.47%
2022-09-07,0.3368,0.3214,0.3385,0.3137,486.16,4.78%
2022-09-08,0.3396,0.3368,0.3433,0.3284,434.48,0.84%
2022-09-09,0.3569,0.3396,0.359,0.3395,587.11,5.11%
2022-09-10,0.3573,0.3569,0.3617,0.3518,330.5,0.10%
2022-09-11,0.3552,0.3573,0.3601,0.3496,255.6,-0.59%
2022-09-12,0.3598,0.3552,0.36,0.348,424.58,1.29%
2022-09-13,0.3326,0.3598,0.3602,0.3311,652.15,-7.55%
2022-09-14,0.3418,0.3326,0.3441,0.3315,608.62,2.77%
2022-09-15,0.3263,0.3418,0.3427,0.3246,705.31,-4.53%
2022-09-16,0.3552,0.3263,0.3577,0.3219,615.85,8.86%
2022-09-17,0.3759,0.3552,0.3799,0.3465,712.35,5.80%
2022-09-18,0.3578,0.3759,0.3975,0.356,1.07B,-4.81%
2022-09-19,0.3849,0.3578,0.3925,0.3403,1.17B,7.58%
2022-09-20,0.4148,0.3847,0.4226,0.371,1.73B,7.75%
2022-09-21,0.394,0.4146,0.4316,0.3848,1.45B,-5.00%
2022-09-22,0.4852,0.394,0.494,0.394,2.03B,23.14%
2022-09-23,0.5077,0.4858,0.557,0.4568,2.73B,4.63%
2022-09-24,0.4878,0.5077,0.5188,0.4724,1.17B,-3.91%
2022-09-25,0.492,0.4878,0.5196,0.4762,1.17B,0.86%
2022-09-26,0.4682,0.4919,0.5016,0.458,953.4,-4.84%
2022-09-27,0.4468,0.4682,0.4874,0.437,912.72,-4.56%
2022-09-28,0.4488,0.4468,0.4553,0.4176,860.09,0.43%
2022-09-29,0.4869,0.4488,0.5086,0.4276,1.10B,8.50%
2022-09-30,0.4799,0.487,0.4986,0.4709,981.82,-1.45%
2022-10-01,0.4754,0.4799,0.4863,0.4677,483.1,-0.93%
2022-10-02,0.4483,0.4753,0.4781,0.4454,493.04,-5.70%
2022-10-03,0.4623,0.4483,0.4691,0.4382,573.49,3.12%
2022-10-04,0.4796,0.4622,0.485,0.4521,729.11,3.74%
2022-10-05,0.4887,0.4796,0.5007,0.4723,795.81,1.90%
2022-10-06,0.4936,0.4887,0.5056,0.4885,581.53,1.00%
2022-10-07,0.5178,0.4935,0.5263,0.4824,727.4,4.90%
2022-10-08,0.5172,0.5177,0.5287,0.5112,485.42,-0.12%
2022-10-09,0.5326,0.5172,0.5468,0.5064,507.03,2.99%
2022-10-10,0.4938,0.5325,0.5379,0.4938,717.97,-7.30%
2022-10-11,0.4861,0.4937,0.5023,0.4792,639.11,-1.55%
2022-10-12,0.4882,0.4861,0.4958,0.4822,368.61,0.43%
2022-10-13,0.4791,0.4882,0.4894,0.4421,874.79,-1.86%
2022-10-14,0.4885,0.4791,0.5118,0.4784,644.51,1.95%
2022-10-15,0.4818,0.4885,0.4899,0.4787,234.48,-1.36%
2022-10-16,0.4766,0.4818,0.4873,0.471,311.82,-1.08%
2022-10-17,0.4798,0.4766,0.4825,0.4629,396.3,0.67%
2022-10-18,0.4658,0.4804,0.4841,0.4576,439.64,-2.92%
2022-10-19,0.4506,0.4658,0.4666,0.4485,470.77,-3.26%
2022-10-20,0.4466,0.4506,0.4644,0.4296,573.03,-0.89%
2022-10-21,0.4612,0.4465,0.4614,0.436,535.22,3.26%
2022-10-22,0.4654,0.4612,0.4704,0.4563,259.59,0.92%
2022-10-23,0.4688,0.4653,0.4721,0.4522,298.41,0.73%
2022-10-24,0.4532,0.4688,0.4723,0.4483,391.99,-3.34%
2022-10-25,0.4606,0.4531,0.4725,0.4437,511.21,1.63%
2022-10-26,0.469,0.4605,0.4709,0.4569,463.93,1.83%
2022-10-27,0.4616,0.469,0.4818,0.4587,568.85,-1.58%
2022-10-28,0.4745,0.4615,0.4753,0.4566,372.22,2.80%
2022-10-29,0.4701,0.4744,0.4836,0.4666,447.66,-0.92%
2022-10-30,0.458,0.4702,0.4731,0.4543,279.44,-2.57%
2022-10-31,0.4643,0.4581,0.467,0.4485,449.1,1.38%
2022-11-01,0.4636,0.4643,0.467,0.4545,382.58,-0.16%
2022-11-02,0.4499,0.4636,0.4658,0.4454,431.74,-2.95%
2022-11-03,0.4549,0.4499,0.4598,0.4489,321.04,1.10%
