Date,Price,Open,High,Low,Vol.,Change
2021-06-07,2592.63,2713.52,2842.88,2581.24,3.01,-0.04
2021-06-08,2510.65,2592.12,2618.7,2320.64,75.18,-0.03
2021-06-09,2606.23,2507.86,2620.74,2408.37,2.32,0.04
2021-06-10,2469.97,2607.45,2615.46,2432.41,1.29,-0.05
2021-06-11,2351.45,2470.04,2493.48,2324.21,587.18,-0.05
2021-06-12,2368.47,2351.45,2448.04,2260.8,1.8,0.01
2021-06-13,2508.27,2368.68,2547.9,2311.96,1.62,0.06
2021-06-14,2581.48,2508.49,2606.91,2467.61,1.79,0.03
2021-06-15,2543.83,2581.42,2637.9,2512.39,1.95,-0.01
2021-06-16,2367.28,2544.35,2552.12,2353.24,1.37,-0.07
2021-06-17,2371.62,2367.78,2459.11,2309.08,1.06,0
2021-06-18,2229.53,2372.1,2376.62,2142.74,778.79,-0.06
2021-06-19,2166.91,2229.53,2276.7,2164.14,1.08,-0.03
2021-06-20,2243.86,2166.3,2276.83,2045.03,1.42,0.04
2021-06-21,1891.18,2244.25,2257.86,1868.32,2.69,-0.16
2021-06-22,1876.66,1890.95,1994.32,1707.24,2.84,-0.01
2021-06-23,1968.39,1877.28,2043.1,1823.57,1.77,0.05
2021-06-24,1989.14,1968.76,2033.96,1886.74,1.64,0.01
2021-06-25,1810.57,1989.77,2017.47,1793.47,1.65,-0.09
2021-06-26,1830.62,1810.53,1850.4,1719.32,1.99,0.01
2021-06-27,1979.88,1830.42,1980.7,1808.59,1.87,0.08
2021-06-28,2083.09,1981.24,2142.84,1962.89,2.19,0.05
2021-06-29,2158.71,2083.48,2241.86,2076.17,898.06,0.04
2021-06-30,2273.84,2158.32,2281.55,2090.61,1.9,0.05
2021-07-01,2109.11,2274.5,2274.63,2077.56,1.71,-0.07
2021-07-02,2154.78,2108.58,2158.7,2019.75,1.39,0.02
2021-07-03,2224.7,2154.53,2236.97,2115.8,1.28,0.03
2021-07-04,2323.22,2224.7,2386.2,2222.95,1.39,0.04
2021-07-05,2196.16,2322.6,2322.6,2163.09,822.95,-0.05
2021-07-06,2322.72,2196.25,2347.47,2194.2,1.78,0.06
2021-07-07,2316.57,2322.74,2402.68,2296.43,1.32,0
2021-07-08,2120.22,2316.21,2322.47,2095.92,1.82,-0.08
2021-07-09,2145.89,2120.05,2185.62,2066.09,1.42,0.01
2021-07-10,2111.12,2146.15,2191.3,2078.43,929.32,-0.02
2021-07-11,2139.35,2110.9,2173.34,2081.62,724.84,0.01
2021-07-12,2035.09,2139.44,2167.6,2008.66,540.1,-0.05
